"SITE_ID","VISIT_NO","SAMPLE_ID","H2O_dD","H2O_d18O","d.excess"
"NRS18_TX_10254","1",107060,-18.6,-3.42,8.75
"NRS18_TX_10445","1",107180,-1.39,1.69,-14.88
"NRS18_TX_10449","1",884500,-27.07,-4.06,5.45
"NRS18_TX_10453","1",114300,-21.66,-4.16,11.64
"NRS18_TX_10504","1",114480,-16.63,-2.87,6.36
"NRS18_TX_10599","1",122540,-8.06,-1.8,6.34
"NRS18_TX_10640","1",114500,-17.8,-2.68,3.66
"NRS18_TX_10645","1",122500,-1.89,-0.34,0.8
"NRS18_TX_10694","1",122520,-25.27,-4.28,9
"NRS18_TX_10827","1",122720,-25.3,-4.86,13.55
"NRS18_TX_10886","1",898860,1.21,2.63,-19.85
"NRS18_TX_10887","1",114280,-35.5,-5.43,7.95
"NRS18_TX_10987","1",114560,-28.17,-4.85,10.66
"NRS18_TX_10988","1",122560,-7.41,-0.35,-4.61
"NRS18_TX_11022","1",114460,-20.73,-3.65,8.49
"NRS18_TX_11028","1",112760,-38.25,-6.25,11.76
"NRS18_TX_11086","1",107160,-62.61,-6.81,-8.13
"NRS18_TX_11093","1",114400,-45.29,-6.5,6.72
"NRS18_TX_11101","1",115500,-60.53,-6.51,-8.44
"NRS18_TX_11144","1",114540,-50.55,-4.34,-15.87
"NRS18_TX_11175","1",122740,-34,-4.41,1.25
"NRS18_TX_11185","1",114320,-31.89,-5.17,9.47
"NRS18_TX_11224","1",115540,-63.8,-6.98,-7.99
"NRS18_TX_11270","1",114600,-24.13,-4.6,12.63
"NRS18_TX_11330","1",114340,-19.12,-3.19,6.44
"NRS18_TX_11369","1",114440,-20.74,-3.26,5.36
"NRS18_UT_10002","1",122400,-105.86,-14.97,13.9
"NRS18_UT_10002","2",135920,-88.61,-12.01,7.47
"NRS18_UT_10003","1",893980,-86.7,-10.49,-2.77
"NRS18_UT_10004","1",891420,-105.43,-13.69,4.07
"NRS18_UT_10005","1",891460,-80.34,-10,-0.31
"NRS18_UT_10006","1",135940,-120.76,-15.65,4.45
"NRS18_UT_10007","1",135900,-120.12,-15.63,4.91
"NRS18_UT_10008","1",897060,-92.57,-12.32,5.98
"NRS18_UT_10009","1",891440,-95.68,-11.2,-6.11
"NRS18_UT_10009","2",897960,-96.76,-12.07,-0.17
"NRS18_UT_10010","1",122440,-119.33,-16.13,9.74
"NRS18_UT_10010","2",135860,-117.99,-15.65,7.18
"NRS18_UT_10011","1",130280,-97.87,-12.27,0.28
"NRS18_UT_10012","1",891400,-95.7,-13.61,13.16
"NRS18_UT_10013","1",109540,-109.87,-14.06,2.61
"NRS18_UT_10014","1",897320,-105.13,-13.23,0.69
"NRS18_UT_10015","1",897300,-97.77,-13.54,10.56
"NRS18_UT_10017","1",122420,-118.5,-16.22,11.26
"NRS18_UT_10018","1",130240,-113.69,-14.4,1.52
"NRS18_UT_10020","1",130260,-103.34,-14.29,10.96
"NRS18_UT_10025","1",130580,-122.96,-16,5.01
"NRS18_UT_10026","1",897340,-120.35,-16.2,9.24
"NRS18_UT_10027","1",891380,-97.37,-13.22,8.42
"NRS18_UT_10032","1",897100,-119.9,-16.09,8.81
"NRS18_UT_10032","2",897080,-116.81,-15.73,9.01
"NRS18_UT_10039","1",135880,-114.77,-15.27,7.43
"NRS18_UT_10044","1",891360,-120.39,-15.73,5.43
"NRS18_UT_10046","1",891480,-124.49,-17.28,13.78
"NRS18_UT_10282","1",109400,-91.64,-12.01,4.45
"NRS18_UT_10285","1",122320,-119.05,-15.93,8.43
"NRS18_UT_10396","1",130560,-97.18,-11.32,-6.62
"NRS18_UT_10432","1",122360,-120.71,-16.39,10.44
"NRS18_UT_10434","1",886380,-116.48,-14.77,1.67
"NRS18_UT_10435","1",897980,-113.18,-14.01,-1.11
"NRS18_UT_10439","1",122460,-119,-16.12,9.97
"NRS18_VA_10001","1",893880,-35.22,-5.82,11.3
