"SITE_ID","VISIT_NO","SAMPLE_ID","dD..vsmow.","d18O..vsmow.","d.excess"
"FW08WI017","1",552121,-52.47,-6.65,0.75
"FW08WI018","1",552111,-64.8,-9.86,14.11
"FW08WI019","1",552281,-63.03,-9.38,12.03
"FW08WI020","1",548181,-63.52,-8.17,1.82
"FW08WI021","2",528891,-55.24,-7.02,0.91
"FW08WI021","1",527181,-54.53,-6.95,1.1
"FW08WI021","2",529531,-55.91,-7.15,1.29
"FW08WI022","1",531221,-55.09,-7.71,6.56
"FW08WI022","2",527521,-58.02,-8.1,6.79
"FW08WI022","1",531111,-32.57,-5.31,9.9
"FW08WI025","1",554181,-55.82,-8.72,13.92
"FW08WI026","1",552251,-58.29,-8.34,8.43
"FW08WI029","1",531151,-54.39,-7.39,4.72
"FW08WI030","1",531231,-56.52,-7.86,6.36
"FW08WI031","1",531191,-55.87,-7.38,3.19
"FW08WI033","1",529891,-54.6,-7.22,3.18
"FW08WI034","1",531201,-59.5,-7.61,1.4
"FW08WI036","1",530401,-65.39,-8.67,4
"FW08WI038","1",555641,-60.11,-9.23,13.72
"FW08WI039","1",555661,-75.73,-10.42,7.61
"FW08WI040","1",531171,-58.2,-7.68,3.27
"FW08WI041","1",530571,-51.8,-8.03,12.41
"FW08WI042","1",547781,-60.55,-8.75,9.45
"FW08WI044","1",530841,-47.71,-6.57,4.86
"FW08WI045","1",542981,-63.77,-9.37,11.19
"FW08WI046","1",528241,-57.21,-7.91,6.03
"FW08WI047","1",551351,-64.93,-9.41,10.34
"FW08WI048","1",530441,-60.69,-8.42,6.7
"FW08WI049","1",528881,-55.12,-7.61,5.76
"FW08WI050","1",531211,-58.87,-7.22,-1.13
"FW08WI051","1",521731,-61.22,-8.59,7.47
"FW08WI053","1",532061,-55.08,-7.45,4.51
"FW08WI054","1",527371,-58.62,-8.8,11.77
"FW08WI055","1",531271,-72.62,-9.88,6.44
"FW08WI056","1",545441,-52.78,-6.83,1.86
"FW08WI060","1",554341,-73.88,-10.4,9.28
"FW08WI062","1",552411,-57.86,-7.33,0.74
"FW08WI069","1",551331,-55.8,-8.58,12.83
"FW08WI072","1",551361,-83.35,-11.19,6.17
"FW08WI075","1",554331,-56.12,-7.34,2.62
"FW08WI077","1",551781,-58.12,-8.7,11.47
"FW08WI078","1",551341,-46.13,-6.68,7.28
"FW08WI083","1",556391,-65.09,-9.14,8.01
