SITE_ID,YEAR,VISIT_NO,UNIQUE_ID,ECOWSA9,RT_WQI,CL_pt,SO4_pt,PTL_pt,NTL_pt,TURB_pt,ENTERO_PT,DO_PT,PH_PT,NUMVARN,WQII
ARR9-0907,2013,1,NRS_AR-10069,CPL,T,0,0,0.114285714,9.892473118,10,10,10,,7,57.15
FW08AR024,2009,1,NRS_AR-10071,CPL,S,10,10,10,10,0,10,10,10,8,87.50
ARR9-0908,2013,1,NRS_AR-10071,CPL,S,10,10,8.8,0,0,10,10,,7,69.71
FW08AR025,2009,1,NRS_AR-10072,SAP,S,10,10,10,3.094339623,10,10,10,10,8,91.37
ARS9-0945,2013,1,NRS_AR-10072,SAP,S,10,10,10,10,10,10,10,,7,100.00
ARS9-0945,2013,2,NRS_AR-10072,SAP,S,10,10,10,9.811320755,10,10,10,,7,99.73
FW08AR026,2009,1,NRS_AR-10073,CPL,T,9.577555639,2.098717176,0,4.88172043,0,10,10,10,8,58.20
ARR9-0909,2013,1,NRS_AR-10073,CPL,T,7.357128421,0,0,0,7.317073171,10,10,,7,49.53
FW08AR027,2009,1,NRS_AR-10074,CPL,T,8.453557143,0,0,0,2.524390244,10,0,10,8,38.72
ARS9-0946,2013,1,NRS_AR-10074,CPL,T,6.354012782,0,0,0,10,0,10,,7,37.65
FW08AR028,2009,1,NRS_AR-10075,CPL,S,10,9.098467499,4.303851429,10,0,10,10,10,8,79.25
FW08AR030,2009,1,NRS_AR-10077,CPL,S,10,8.148437365,10,10,10,10,10,10,8,97.69
FW08AR031,2009,1,NRS_AR-10078,SAP,S,9.457052853,10,10,9.962264151,8.398169336,10,10,10,8,97.27
FW08AR032,2009,1,NRS_AR-10079,SAP,S,0,6.170550424,0,0,0,10,10,10,8,45.21
FW08AR035,2008,1,NRS_AR-10082,SAP,R,10,10,10,10,9.405034325,10,10,10,8,99.26
FW08AR036,2009,1,NRS_AR-10083,CPL,S,0,0,9.837714286,10,0,10,10,10,8,62.30
FW08AR037,2009,1,NRS_AR-10084,CPL,S,10,10,0,9.548387097,0,0,10,10,8,61.94
FW08AR041,2009,1,NRS_AR-10088,SAP,S,7.678296096,10,10,1.169811321,10,10,10,10,8,86.06
FW08AR042,2009,1,NRS_AR-10089,CPL,T,3.92575188,6.723392165,0,10,0,10,10,10,8,63.31
FW08AR043,2009,1,NRS_AR-10090,CPL,S,10,7.772010331,6.482285714,10,0,10,10,10,8,80.32
FW08AR044,2009,1,NRS_AR-10091,SAP,S,3.273755556,9.823371348,0,0,0,10,10,10,8,53.87
FW08AR052,2009,1,NRS_AR-10099,CPL,S,0,0,5.481851429,9.76344086,0,10,10,10,8,56.56
FW08AR053,2009,1,NRS_AR-10100,CPL,S,10,6.830942746,4.044708571,10,0,10,10,10,8,76.09
FW08AR057,2009,1,NRS_AR-10104,SAP,S,8.10180961,10,10,5.924528302,10,10,10,10,8,92.53
FW08AR060,2009,1,NRS_AR-10107,SAP,S,0,5.611295005,0,10,1.098398169,10,10,10,8,58.39
FW08AR067,2008,1,NRS_AR-10108,CPL,S,0,0,0,0,,,10,,5,
FW08AR069,2009,1,NRS_AR-10109,SAP,S,9.821274474,10,0,0,0,0,10,10,8,49.78
ARS9-0949,2013,1,NRS_AR-10109,SAP,S,10,10,10,0,10,10,10,,7,85.71
NRS18_AR_10004,2018,1,NRS_AR-10109,SAP,S,9.555307988,10,8.7303207,7.886792453,9.473684211,10,10,10,8,94.56
FW08AR070,2009,1,NRS_AR-10110,SAP,T,9.033539339,10,0,0,0,0,10,10,8,48.79
ARS9-0950,2013,1,NRS_AR-10110,SAP,T,9.188545285,10,7.580174927,9.660377358,10,10,3,,7,84.90
FW08AR072,2009,1,NRS_AR-10111,CPL,S,10,0,0,0,0,10,0,10,8,37.50
FW08AR073,2009,1,NRS_AR-10112,SAP,S,7.906993393,10,10,0,10,10,10,10,8,84.88
FW08AR078,2008,1,NRS_AR-10115,CPL,S,0,0,0,0,,0,10,,6,
FW08AR080,2009,1,NRS_AR-10116,SAP,R,10,10,10,10,10,10,10,10,8,100.00
FW08AR084,2009,1,NRS_AR-10117,CPL,S,10,10,10,3.247311828,6.109756098,0,9.5,10,8,73.57
FW08AR087,2008,1,NRS_AR-10120,CPL,S,0,0,0,0,,10,10,,6,
FW08AR088,2009,1,NRS_AR-10121,CPL,S,10,9.421119242,10,10,3.024390244,10,10,10,8,90.56
FW08AR093,2009,1,NRS_AR-10123,CPL,?,10,10,0,0,0,10,2,10,8,52.50
FW08AR094,2009,1,NRS_AR-10124,CPL,S,5.993484962,10,7.841565714,10,0,0,0,10,8,54.79
FW08AR099,2009,1,NRS_AR-10125,SAP,S,10,10,10,10,7.391304348,,10,10,7,96.27
FW08AR111,2009,1,NRS_AR-10127,SAP,T,9.863625826,10,10,10,3.546910755,10,10,10,8,91.76
FW08AR112,2009,1,NRS_AR-10128,SAP,R,10,10,10,10,1.029748284,10,10,10,8,88.79
FW08AR114,2009,1,NRS_AR-10129,SAP,R,10,10,10,10,10,0,10,10,8,87.50
FW08AR116,2009,1,NRS_AR-10131,CPL,R,10,7.583796814,0,0.107526882,0,10,10,10,8,59.61
FW08AR122,2009,1,NRS_AR-10133,CPL,T,10,8.040886784,0,0,0,10,10,10,8,60.05
FW08AR124,2009,1,NRS_AR-10134,SAP,S,9.838215015,10,0,7.547169811,0,10,10,10,8,71.73
FW08AR133,2009,1,NRS_AR-10135,SAP,S,9.778923123,10,6.292623907,1.433962264,10,10,10,10,8,84.38
FW08AR141,2009,1,NRS_AR-10137,CPL,T,0,0,2.868137143,8.258064516,10,10,10,10,8,63.91
FW08AR142,2009,1,NRS_AR-10138,SAP,S,10,10,10,10,6.864988558,10,10,10,8,96.08
FW08AR145,2009,1,NRS_AR-10140,CPL,T,3.893940602,7.574834266,0,0,0,0,10,10,8,39.34
FW08AR146,2009,1,NRS_AR-10141,SAP,S,10,10,10,10,5.011441648,10,10,10,8,93.76
FW08AR147,2009,1,NRS_AR-10142,SAP,R,10,10,10,10,0,10,10,10,8,87.50
FW08AR148,2009,1,NRS_AR-10143,SAP,S,10,10,6.810495627,3.660377358,0,10,10,10,8,75.59
FW08AR151,2009,1,NRS_AR-10144,CPL,T,0,0,0,0,10,10,10,10,8,50.00
FW08AR153,2009,1,NRS_AR-10145,SAP,T,7.923933934,10,10,9.20754717,10,,10,10,7,95.90
FW08AR161,2009,1,NRS_AR-10146,CPL,S,2.812357143,10,0.704,0,8.963414634,0,10,10,8,53.10
FW08AR177,2009,1,NRS_AR-10151,SAP,T,5.374382583,10,3.581253644,0,10,0,10,10,8,61.19
FW08AR179,2009,1,NRS_AR-10152,SAP,S,10,10,0,8.490566038,0,0,10,10,8,60.61
FW08AR188,2009,1,NRS_AR-10157,SAP,S,7.712177177,10,0,9.547169811,0,10,0,10,8,59.07
FW08AR192,2009,1,NRS_AR-10159,SAP,S,8.991187988,10,0,0,0,10,10,10,8,61.24
FW08AR205,2008,1,NRS_AR-10162,CPL,S,0,0,0,0,,10,10,,6,
FW08AR218,2009,1,NRS_AR-10167,CPL,?,9.662385714,1.982204046,0,7.075268817,0,10,10,10,8,60.90
FW08AR236,2009,1,NRS_AR-10172,SAP,S,0,4.04537983,0,0,0,10,0,10,8,30.06
FW08AR255,2009,1,NRS_AR-10179,SAP,T,9.956798799,9.710539114,4.184956268,0,0,0,7.5,10,8,51.69
FW08AR274,2008,1,NRS_AR-10186,CPL,S,0,0,0,0,,0,10,,6,
FW08AR276,2009,1,NRS_AR-10187,SAP,S,0,8.600858624,0,0,0,10,0,10,8,35.75
FW08AR303,2009,1,NRS_AR-10195,CPL,?,6.173748872,3.936039604,0,0,0,,10,10,7,43.01
FW08AR307,2009,1,NRS_AR-10197,SAP,T,6.145177177,9.590838831,0,2.264150943,0,0,10,10,8,47.50
FW08AR311,2009,1,NRS_AR-10200,CPL,S,0,10,10,4.860215054,2.243902439,10,10,10,8,71.38
FW08AR320,2009,1,NRS_AR-10202,SAP,S,10,10,7.625714286,10,10,0,10,10,8,84.53
ARLS-1045,2013,1,NRS_AR-10203,CPL,T,3.888638722,4.168169608,3.314285714,2.043010753,0,0,2,,7,22.02
NRS18_AR_10009,2018,1,NRS_AR-10203,CPL,T,0.701148647,2.173106328,0,1.376344086,0,0,8,10,8,27.81
NRS18_AR_10009,2018,2,NRS_AR-10203,CPL,T,0,3.738863539,0,0,0,10,4.4,10,8,35.17
ARLS-1046,2013,1,NRS_AR-10204,CPL,R,10,8.770438226,10,10,10,10,10,,7,98.24
ARLS-1047,2013,1,NRS_AR-10205,SAP,R,10,10,10,10,10,0,10,,7,85.71
NRS18_AR_10014,2018,1,NRS_AR-10205,SAP,R,10,10,10,10,5.560640732,10,10,10,8,94.45
ARLS-1048,2013,1,NRS_AR-10206,SAP,S,10,10,10,10,10,10,10,,7,100.00
NRS18_AR_10034,2018,1,NRS_AR-10206,SAP,S,9.885648529,10,10,10,9.244851259,10,10,10,8,98.91
ARRM-1001,2013,1,NRS_AR-10207,CPL,S,0,0,5.6,8.258064516,10,10,10,,7,62.65
NRS18_AR_10010,2018,1,NRS_AR-10207,CPL,S,0,0,0,0,0,10,10,10,8,37.50
NRS18_AR_10010,2018,2,NRS_AR-10207,CPL,S,0,0,0,0,0,10,10,10,8,37.50
ARRM-1002,2013,1,NRS_AR-10208,CPL,S,0,0,5.142857143,10,4.756097561,10,10,,7,57.00
ARRM-1003,2013,1,NRS_AR-10209,CPL,S,10,9.583341369,9.828571429,10,0,10,10,,7,84.87
NRS18_AR_10018,2018,1,NRS_AR-10209,CPL,S,10,9.94632458,3.603885714,9.870967742,0,10,10,10,8,79.28
