,O,E,OoverE,Onull,Enull,OoverE.null,BC,BC.null
10298,7,17.46960287,0.400696,7,12.1559322,0.57585053,0.617694262,0.475491064
10299,2,17.77452479,0.112520589,2,12.1559322,0.164528723,0.829823131,0.752394636
10301,18,16.39114328,1.098154027,14,12.1559322,1.15170106,0.282607339,0.256091239
10307,8,13.62728908,0.587057334,8,12.1559322,0.658114891,0.459794171,0.433905146
10317,11,13.13245231,0.837619642,11,12.1559322,0.904907975,0.31278709,0.315473576
10319,10,13.50126047,0.740671585,9,12.1559322,0.740379253,0.383043737,0.382791219
10320,14,14.95020902,0.936441757,13,12.1559322,1.069436698,0.288149588,0.280150923
10329,15,17.54968335,0.854716276,13,12.1559322,1.069436698,0.386104931,0.280150923
10339,11,13.05059468,0.842873468,10,12.1559322,0.822643614,0.32863934,0.354039168
10350,9,18.8114216,0.478432741,6,12.1559322,0.493586168,0.533148217,0.497012696
